id,logos,section,paragraph,tec_category,secondary_category,polarity,confidence,justification,error,page_start,biblical_citations
249,Η΄,§12,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΦΟΒΟΣ_ΘΕΟΥ,Ουδέτερο,0.82,"Η παράγραφος αναπτύσσει θεολογικό επιχείρημα περί θείας κρίσεως εν τῷ παρόντι και εν τῷ μέλλοντι βίῳ, με κεντρικό άξονα την εσχατολογική συνείδηση της μελλοντικής κρίσεως μετά την περαίωση του βίου, ενώ ο διδακτικός-απολογητικός τόνος μετριάζει τη συναισθηματική φόρτιση.",,127,
250,Η΄,§13,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΑΓΑΠΗ,ΕΝΤΟΛΗ,Θετικό,0.78,"Η εικόνα του πατρὸς ἀγαθοῦ καὶ φιλοτέκνου που ανατρέφει με παιδεία και νουθεσία τα τέκνα του αποπνέει θερμή πατρική στοργή, ενώ η διδακτική πλαισίωση (εἰκόνισμα, αὐτεξούσιον) προσδίδει δευτερεύοντα κανονιστικό τόνο.",,127,
251,Η΄,§14,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΑΓΑΠΗ,Αρνητικό,0.78,"Η ρητορεία του βασιλέως-πατρός κορυφώνεται στην εσχατολογική κρίση (βῆμα, κολάσεις, ἀποδώσω κατὰ τὴν πρᾶξιν), ενώ η πατρική στοργή και η εντολή ἀγάπης προς τον πλησίον λειτουργούν ως δευτερεύων αλλά παρών συναισθηματικός τόνος.",,127,
252,Η΄,§15,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΛΠΙΔΑ,ΜΕΤΑΝΟΙΑ,Θετικό,0.82,"Ο νεώτερος υἱὸς επικαλείται την ἄβυσσον τοῦ ἐλέους και την εὐσπλαγχνίαν του Θεού ως υπέρτερες της δικαιοκρισίας, προβάλλοντας παραδείγματα συγχώρησης (μύρια τάλαντα, ἑνδεκάτη ὥρα) που θεμελιώνουν εσχατολογική ελπίδα σωτηρίας.",,128,
253,Η΄,§16,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΚΑΤΗΓΟΡΙΑ,ΦΟΒΟΣ_ΘΕΟΥ,Αρνητικό,0.88,"Ο βασιλεύς-Χριστός ελέγχει αυστηρά όσους καταχρώνται τη φιλανθρωπία Του αμαρτάνοντες ἀδεῶς, απειλώντας αποκλεισμό από τη συγχώρηση — ηθική επίπληξη με έντονη εσχατολογική προειδοποίηση που εμπνέει ιερό δέος.",,128,
254,Η΄,§17,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΑΓΑΠΗ,ΔΟΞΟΛΟΓΙΑ,Θετικό,0.81,"Ο πρεσβύτερος υιός αναγνωρίζει την εὐσπλαγχνίαν του Πατρός ως πηγή κάθε τιμής και κληρονομίας, εκφράζοντας βαθιά αίσθηση αναξιότητας μπροστά στη θεϊκή πατρική αγάπη, με δευτερεύοντα τόνο ευχαριστίας που κορυφώνεται στο ρητορικό ερώτημα «τίς ἱκανὸς ἀξίως εὐχαριστῆσαι».",,128,
255,Η΄,§18,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΝΤΟΛΗ,ΦΟΒΟΣ_ΘΕΟΥ,Ουδέτερο,0.72,"Διαλογική-διδακτική ανταλλαγή περί αυτεξουσίου και ηθικής ευθύνης με κανονιστικό-φιλοσοφικό τόνο, χωρίς έντονη συναισθηματική φόρτιση.",,128,
256,Η΄,§19,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.72,"Διαλογική-διδακτική ανάλυση της ελεύθερης προαίρεσης ως θεολογικής αρχής, με κανονιστικό τόνο και υπόρρητη επίπληξη προς τον κακώς προαιρούμενο.",,129,
257,Η΄,§20,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Ουδέτερο,0.72,"Η φράση «ἡ ὡρισμένη τῶν αἰώνων περαιωθῇ ἑβδομάς» εισάγει εσχατολογική συνείδηση τέλους των αιώνων, ενώ ο διδακτικός-αφηγηματικός τόνος της παιδαγωγίας («παιδαγωγῶν ἅμα καὶ ἐντελλόμενος») προσδίδει δευτερεύοντα κανονιστικό χαρακτήρα.",,129,
258,Η΄,§21,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΑΓΑΠΗ,ΕΣΧΑΤΟΛΟΓΙΑ,Θετικό,0.74,"Η αντίθεση φιλοσάρκων καὶ ἀσκητῶν κορυφώνεται στην έκφραση ἀπόλυτης αφοσίωσης προς τον Χριστό μέσω της εικόνας μυρίων θανάτων και της εὐσπλαγχνίας Του, αναδεικνύοντας θερμή αγάπη και ανεκτίμητη σχέση με τον Θεό, με εσχατολογικό υποκείμενο στην αναφορά μελλούσης δόξης.",,129,
259,Η΄,§22,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΦΟΒΟΣ_ΘΕΟΥ,Αρνητικό,0.91,Η αναβολή της θείας κρίσης για το τέλος — «Ἰδοὺ ἔρχομαι» και «ἀποδώσω ἑκάστῳ κατὰ τὴν πρᾶξιν» — συνιστά κλασική εσχατολογική αφύπνιση με υποκείμενο ιερό δέος μπροστά στον παντεπόπτη Κριτή.,,129,
260,Η΄,§23,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.74,"Η παράγραφος αντιμετωπίζει το θεολογικό πρόβλημα της ευημερίας των αμαρτωλών στον παρόντα βίο, υπονοώντας μέσω της εικόνας των δύο υιών ότι η κρίση ανήκει στον μέλλοντα αιώνα — εσχατολογική προοπτική με δευτερεύουσα ηθική κατηγορία κατά αμαρτωλών και απίστων.",,129,
261,Η΄,§24,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.91,Η παράγραφος αναπτύσσει θεολογικά την τελική διαίρεση της ανθρωπότητας σε δύο στάσεις — κόλασιν αἰώνιον καὶ ζωὴν αἰώνιον — με αλυσίδα παραβολών που επιβεβαιώνουν την εσχατολογική κρίση ως κυριολεκτική διδασκαλία του Χριστού.,,129,
262,Η΄,§25,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.82,"Το ρητορικό ερώτημα για την κόλαση των αμαρτωλών πιστών — κολάσεις, μηδεμίαν ὄνησιν — εγείρει εσχατολογική αγωνία με έντονο ελεγκτικό υπόστρωμα κατά της αισχρής βιοτής.",,130,
263,Η΄,§26,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.72,"Διδακτική-απολογητική επιχειρηματολογία περί πίστεως και έργων με παράθεμα Ιακώβου, κανονιστικός τόνος που τείνει προς έλεγχο της αντίληψης «μόνη πίστις σώζει».",,130,
264,Η΄,§27,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΜΕΤΑΝΟΙΑ,ΕΣΧΑΤΟΛΟΓΙΑ,Αρνητικό,0.83,"Ο ρητορικός ερωτηματισμός εκφράζει βαθύ πόνο για την εμπάθεια και τον φόβο απόγνωσης ενώπιον της κρίσεως, συνδυάζοντας κατανυκτικό πένθος με εσχατολογική αφύπνιση.",,130,
265,Η΄,§28,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΜΕΤΑΝΟΙΑ,ΑΓΑΠΗ,Θετικό,0.88,"Η παράγραφος συνδυάζει το κάλεσμα εἰς μετάνοιαν με τη χαρά του Θεού για κάθε ἁμαρτωλὸν μετανοοῦντα — η μετάνοια εδώ ανοίγει σε αγαλλίαση και φιλόστοργη πατρική υποδοχή, δίνοντας σαφώς θετική συναισθηματική φόρτιση.",,130,
266,Η΄,§29,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΜΕΤΑΝΟΙΑ,ΕΛΠΙΔΑ,Θετικό,0.91,"Η μετάνοια παρουσιάζεται ως η μοναδική ελπίδα σωτηρίας μετά Θεόν, με παραδείγματα σεσωσμένων αμαρτωλών (λῃστής, τελώνης, Μανασσῆς) που μετατρέπουν τον πόνο της αμαρτίας σε θετική προοπτική κοινωνίας με τους ἁγίους.",,130,
267,Η΄,§30,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.88,"Η παράγραφος αντικρούει την ψευδή ασφάλεια του πιστού που νομίζει ότι δεν θα κολαστεί, και καταλήγει στο δραματικό «πῦρ τὸ αἰώνιον» της Δευτέρας Παρουσίας — έντονη εσχατολογική φόρτιση με παράλληλο ελεγκτικό τόνο κατά της ηθικής αδιαφορίας.",,130,
268,Η΄,§31,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.87,Η σφοδρά απειλή της Δευτέρας Παρουσίας απευθύνεται σε πιστούς που αμέλησαν τα ἐγκλήματα φιλανθρωπίας — εσχατολογική αφύπνιση με έντονο κατηγορικό υπόστρωμα.,,131,
269,Η΄,§32,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.91,"Η απειλή «πῦρ τὸ αἰώνιον» και η αποπομπή «Πορεύεσθε ἀπ᾿ ἐμοῦ οἱ κατηραμένοι» συνθέτουν έντονο εσχατολογικό δράμα, ενώ η ηθική επίπληξη κατά των ἀνελεημόνων προσδίδει δευτερεύοντα κατηγορικό τόνο.",,131,
270,Η΄,§33,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΚΑΤΗΓΟΡΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.82,"Ο αδυσώπητος χαρακτηρισμός του ἀνελεήμονος ως ἅρπαγα και πλεονέκτη που θλίβει τον πένητα συνιστά έντονη ηθική κατηγορία, ενώ τα παραθέματα Σολομώντος και Δανιήλ προσθέτουν κανονιστική διάσταση.",,131,
271,Η΄,§34,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΚΑΤΗΓΟΡΙΑ,ΕΣΧΑΤΟΛΟΓΙΑ,Αρνητικό,0.91,"Αλληλουχία αρνητικών επαναλήψεων («οὐκ ἐδώκατε», «οὐκ ἐποτίσατε», «οὐ συνηγάγετε») με άμεση ευαγγελική καταδίκη ενισχύει τον έντονο ελεγκτικό τόνο, ενώ η αναφορά στην κρίση («Ἐφ᾿ ὅσον οὐκ ἐποιήσατε») προσδίδει εσχατολογικό βάρος.",,131,
272,Η΄,§35,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.91,"Η παράγραφος ανακεφαλαιώνει μία αλυσίδα αντεστραμμένων εντολών αγάπης (αρπαγή, εκδίωξη, εκγύμνωση, φυλάκιση) και κορυφώνεται με το εσχατολογικό «Πορεύεσθε ἀπ᾿ ἐμοῦ οἱ κατηραμένοι εἰς τὸ πῦρ τὸ αἰώνιον», συνδυάζοντας σκληρή ηθική κατηγορία με δραματική αφύπνιση της Κρίσης.",,131,
273,Η΄,§36,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΚΑΤΗΓΟΡΙΑ,ΜΕΤΑΝΟΙΑ,Αρνητικό,0.91,"Ο συγγραφέας ελέγχει οξύτατα εκείνον που αποκαλεί «ὠφέλειαν» την πλεονεξία, αδυνατώντας να αναγνωρίσει την αμαρτία του — η ρητορική ερώτηση «Πῶς οὖν μετανοήσει;» συνιστά σαφή ηθική επίπληξη.",,132,
274,Η΄,§37,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΜΕΤΑΝΟΙΑ,ΕΛΠΙΔΑ,Θετικό,0.91,"Το παράδειγμα του Ζακχαίου παρουσιάζει μετάνοια που εκδηλώνεται με συγκεκριμένο καρπό — διανομή και αποκατάσταση — και στεφανώνεται με την κυριακή υπόσχεση σωτηρίας, δίνοντας θετική φόρτιση στη μετανοητική πράξη.",,132,
275,Η΄,§38,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΚΑΤΗΓΟΡΙΑ,ΜΕΤΑΝΟΙΑ,Αρνητικό,0.87,"Ο Νεόφυτος αντιπαραθέτει τη συντεταγμένη μετάνοια του Ζακχαίου με την υποκριτική αυτοδικαίωση των αμαρτανόντων που μετονομάζουν τις πλεονεξίας ἁρπαγὰς σε ὠφέλειαν, διατυπώνοντας έτσι οξεία ηθική επίπληξη με ρητορική αντίθεση.",,132,
276,Η΄,§39,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.82,"Η αναφορά στη διάκριση προβάτων και ερίφων, στον Κριτή και στα «φρικτά ἀποφθέγματα» της Δευτέρας Παρουσίας προσδίδει έντονο εσχατολογικό χαρακτήρα με δραματική-αφυπνιστική φόρτιση.",,132,
277,Η΄,§40,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.91,"Η αντίθεση μεταξύ ταπεινής Πρώτης Παρουσίας και ένδοξης Δευτέρας Παρουσίας κορυφώνεται με ρητορικό ερώτημα αφύπνισης («τίς ὑπομενεῖ ἡμέραν εἰσόδου αὐτοῦ»), ενώ η κατηγορία κατά των απίστων («ψιλὸν ἄνθρωπον», «πλάνον», «ἀπατεῶνα») ενισχύει την αρνητική εσχατολογική φόρτιση.",,132,
278,Η΄,§41,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Αρνητικό,0.82,"Τριπλή παράθεση εσχατολογικών λόγιων περί Δευτέρας Παρουσίας με δυνάμεως, δόξης πολλῆς και εξουσία κρίσεως — κυριαρχεί το δέος της τελικής κρίσεως, με δευτερεύον στοιχείο θεολογικής δόξας.",,133,
279,Η΄,§42,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΝΤΟΛΗ,ΔΟΞΟΛΟΓΙΑ,Ουδέτερο,0.71,"Διδακτική-θεολογική ανάλυση της υιότητας του Χριστού με κανονιστικό-ερμηνευτικό τόνο, χωρίς έντονη συναισθηματική φόρτιση, με μικρή απόχρωση θαυμασμού στα «ἀξιοθαύμαστα ὀνόματα».",,133,
280,Η΄,§43,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΔΟΞΟΛΟΓΙΑ,ΑΓΑΠΗ,Θετικό,0.88,"Η πυκνή συσσώρευση θεομητορικών επιθέτων (θεόνυμφος, θεοτίμητος, θεοχώρητος, πανακήρατος, θεοπρόκριτος) και η τετραπλή αναφορική επανάληψη δι᾿ ἧς που εξυμνεί το σωτηριολογικό έργο της Θεοτόκου αποπνέουν εκστατική αγαλλίαση και ύμνο, χαρακτηριστικά της ΔΟΞΟΛΟΓΙΑΣ.",,133,
281,Η΄,§44,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΝΤΟΛΗ,ΦΟΒΟΣ_ΘΕΟΥ,Ουδέτερο,0.62,"Η παράγραφος εκθέτει διδακτικά-θεολογικά τη λογική της χρήσης «υἱὸς ἀνθρώπου» από τον Χριστό, με ερμηνευτικό-κανονιστικό τόνο, ενώ η αναφορά στη σκληρότητα των Ιουδαίων εισάγει δευτερευόντως στοιχεία ιερού δέους μπροστά στη θεϊκή οικονομία.",,133,
282,Η΄,§45,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Αρνητικό,0.95,"Εκτενής και λεπτομερής περιγραφή Δευτέρας Παρουσίας με σειρά κοσμικών συντελειακών εικόνων — κένωση ουρανού, έγερση νεκρών, σβέση φωτιστήρων, καινὸς οὐρανὸς — που συνθέτουν δραματικό εσχατολογικό κλίμα με δευτερεύοντα δοξολογικό τόνο στη λαμπρότητα του βασιλέως της δόξης.",,133,
283,Η΄,§46,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Αρνητικό,0.91,"Η εικόνα της αστραπής από ανατολών έως δυσμών και η συνάθροιση των αγγελικών ταγμάτων περιγράφουν με δραματική ένταση τη Δευτέρα Παρουσία, με κυρίαρχο εσχατολογικό τόνο που φέρει ωστόσο και ίχνη δοξολογικής λαμπρότητας.",,134,
284,Η΄,§47,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.97,"Πυκνή αλληλουχία εσχατολογικών εικόνων (Δευτέρα Παρουσία, κρίση, κόλαση, αποστροφή αμαρτωλών) με επαναλαμβανόμενο 'τότε' που συνθέτει κλιμακούμενο δράμα κρίσης, ενισχυμένο από κατηγορητική αναφορά σε πλούσιους, φθονερούς και μωρές παρθένους.",,134,
285,Η΄,§48,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΦΟΒΟΣ_ΘΕΟΥ,Αρνητικό,0.97,"Η εικόνα της παγίδας και της αστραπής για την ἡμέραν ἐκείνην, μαζί με τα ρήματα σαλευθήσεται, τρομάξει, φρίξει, δημιουργούν οξύτατη εσχατολογική αφύπνιση με ισχυρό ιερό δέος.",,134,
286,Η΄,§49,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΦΟΒΟΣ_ΘΕΟΥ,Αρνητικό,0.91,"Η παράγραφος συνδυάζει την εικόνα του Κατακλυσμού με την προφητεία Μαλαχίου για την ἡμέραν Κυρίου τὴν μεγάλην, αποπνέοντας έντονο εσχατολογικό δέος μπροστά στην αιφνίδια και απρόβλεπτη Δευτέρα Παρουσία.",,134,
287,Η΄,§50,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Ουδέτερο,0.87,"Η κοσμική κατάρρευση ηλίου, σελήνης και άστρων παρουσιάζεται ως εσχατολογικό γεγονός, αλλά η εικόνα της παμφώτου μεσημβρίας μετριάζει τον τρόμο με ένα στοιχείο δοξαστικής φωτοφάνειας.",,135,
288,Η΄,§51,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Θετικό,0.88,Η εικόνα του ἡλίου τῆς δικαιοσύνης και των δικαίων που λάμπουν ὑπὲρ τὸν ἥλιον αποπνέει εσχατολογική αφύπνιση με έντονα δοξολογικές αποχρώσεις.,,135,
289,Η΄,§52,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.93,"Η πενταπλή επανάληψη «κόψονται» σκιαγραφεί την αμετάκλητη εσχατολογική καταδίκη των αμαρτωλών-πλουσίων, ενώ η εικόνα της κλεισμένης μετανοίας και η παραβολή της καμήλου εντείνουν τον χαρακτήρα ηθικής επίπληξης.",,135,
290,Η΄,§53,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Θετικό,0.88,"Η περιγραφή της Δευτέρας Παρουσίας με αφράστῳ δόξῃ, αἴγλῃ πολλῇ και εικόνα ηλίου πολυφώτου προσδίδει έντονο εσχατολογικό χαρακτήρα με θετική φόρτιση που αγγίζει δοξολογία.",,135,
291,Η΄,§54,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Αρνητικό,0.93,"Η επταπλή επανάληψη «ἐκεῖ» με αναφορές σε θρόνους, βίβλους, πλήθη αγγέλων και ποταμὸν πυρὸς ζωγραφίζει την εσχατολογική σκηνή Δευτέρας Παρουσίας με τρομερό μεγαλείο, ενώ η λειτουργική αίγλη εισάγει δευτερεύουσα δοξολογική νότα.",,135,
292,Η΄,§55,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΦΟΒΟΣ_ΘΕΟΥ,Ουδέτερο,0.81,"Η παράγραφος ασχολείται με την ανακαίνιση ή παρέλευση ουρανού και γης κατά τα έσχατα, επικαλούμενη Δαυίδ και ευαγγελικό λόγο, με θεολογική απορία («λέγειν οὐ δύναμαι») και υπόμνηση της παντοδυναμίας Θεού που αποφεύγει πρόωρη καταδίκη — ο τόνος είναι στοχαστικός-εσχατολογικός χωρίς έντονη συναισθηματική φόρτιση.",,135,
293,Η΄,§56,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΕΛΠΙΔΑ,Θετικό,0.88,"Η εικόνα του καινού ουρανού και της καινής γης, με τη μεταφορά της λαμπρυνόμενης οικίας κατά τη Δευτέρα Παρουσία, φέρει ισχυρό εσχατολογικό χαρακτήρα με θετική — ανανεωτική — φόρτιση αντί τρόμου.",,136,
294,Η΄,§57,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Αρνητικό,0.87,"Κοσμολογική περιγραφή τριών επιπέδων ύπαρξης — φως ανέσπερο άνω, χωρίον αμαρτωλών στη μέση, σκότος αφώτιστον κάτω ως καταδίκη διαβόλου — με έντονη εσχατολογική συνείδηση κρίσης και τελικής διαίρεσης.",,136,
295,Η΄,§58,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Θετικό,0.87,"Η εικόνα της Δευτέρας Παρουσίας ως κοσμικής κάθαρσης και φωτισμού (φῶς ἀνέσπερον, δοξασθήσεται, λαμπρυνθήσεται) αποδίδει εσχατολογικό περιεχόμενο με έντονα δοξολογική θετική φόρτιση.",,136,
296,Η΄,§59,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Θετικό,0.87,Η οπτασία της Δευτέρας Παρουσίας με τον ένδοξο Σταυρό να εκπέμπει ηλιακές ακτίνες και να κυκλώνεται από αγγέλους συνδυάζει εσχατολογική αφύπνιση με δοξολογικό θαυμασμό μπροστά στο θεϊκό μεγαλείο.,,136,
297,Η΄,§60,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.95,Ανάσταση και επιστροφή στον ᾅδην των συγκεκριμένων αμαρτωλών — έντονη εσχατολογική κρίση με σαφή κατηγορηματικό χαρακτήρα κατά των διωκτών του Χριστού.,,137,
298,Η΄,§61,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Αρνητικό,0.87,"Η παράγραφος περιγράφει τη Δευτέρα Παρουσία του Χριστού ως κριτή με έντονα εσχατολογικά σύμβολα (τύλωμα ήλων, λόγχη, ακάνθινος στέφανος, σταυρός στον Γολγοθά), ενώ η αναφορά στην άρρητη δόξα προσδίδει δευτερεύουσα δοξολογική απόχρωση.",,137,
299,Η΄,§62,Εἰς τὰς σεπτὰς καὶ αὖθις θείας ἐντολάς καὶ εἰς τὴν δευτέραν παρουσίαν,ΕΣΧΑΤΟΛΟΓΙΑ,ΜΕΤΑΝΟΙΑ,Αρνητικό,0.83,"Η αναγνώριση των Ιουδαίων κατά τη Δευτέρα Παρουσία — ἄρξονται λέγειν, ἀπετύφλωσε ἡμᾶς ἡ κακία, οὐκ ἔγνωμεν — συνδυάζει εσχατολογικό τρόμο αποκάλυψης της αλήθειας με ψευδομετανοϊκό θρήνο αδυνάτου πλέον διόρθωσης.",,137,
